series_name,seasons_list
愚人买鞋,"[('愚人买鞋', 47494)]"
成语中国,"[('成语中国 第一季', 48501)]"
成语诗词荟萃,"[('成语诗词荟萃', 72550)]"
我们渡江啦,"[('我们渡江啦', 46752), ('我们渡江啦 第二季', 46751)]"
我叫MT,"[('我叫MT 第七季', 48158)]"
我在修仙世界朝九晚五,"[('我在修仙世界朝九晚五', 47798)]"
我在未来有套房,"[('我在未来有套房 第二季', 84293)]"
我在末世搬金砖,"[('我在末世搬金砖 动态漫', 103005)]"
我是发明家,"[('我是发明家 第2季', 72939), ('我是发明家 第1季', 72938), ('我是发明家 第3季', 72940)]"
我玩游戏成了绝世强者,"[('我玩游戏成了绝世强者', 45739)]"
我的三体,"[('我的三体 第四季', 45975)]"
我的师傅每到大限才突破,"[('我的师傅每到大限才突破 动态漫', 103004)]"
我的师兄太强了,"[('我的师兄太强了', 90883)]"
我的弟子遍布诸天万界,"[('我的弟子遍布诸天万界 第二季 动态漫', 98831)]"
我的弟子都超神,"[('我的弟子都超神 第二季', 47198)]"
我真不是大反派啊,"[('我真不是大反派啊 动态漫', 102893)]"
我真的不想当,"[('我真的不想当第一 动态漫', 103006)]"
我靠签到逆天改命,"[('我靠签到逆天改命', 47199)]"
托宝战士,"[('托宝战士之银河勇士战记', 46999), ('托宝战士之我教你画', 46998), ('托宝战士之施望的秘密', 46997), ('托宝战士之热血再燃', 46996), ('托宝战士之顶峰对决', 46995), ('托宝战士之银河保卫战', 46994), ('托宝战士之银河大激斗', 46993), ('托宝战士之银河侦探 第2季', 72755), ('托宝战士之银河侦探 第1季', 72754), ('托宝战士之银河侦探 第3季', 72735), ('托宝战士之银河侦探 第5季', 72737), ('托宝战士之银河侦探 第4季', 72736)]"
抬驴,"[('抬驴', 47506)]"
拇指总动员,"[('拇指总动员6：明珠黑影', 45690), ('拇指总动员5：风暴之眼', 45689), ('拇指总动员2：雨林奇遇', 45688), ('拇指总动员4：雪山寻鹿', 45687), ('拇指总动员6：明珠黑影', 45690)]"
捕星司·源起,"[('捕星司·源起', 39698)]"
掌门低调点,"[('掌门低调点 动态漫 第三季', 102996), ('掌门低调点 动态漫 第二季', 102995)]"
探索生活小百科,"[('探索生活小百科', 72552)]"
探险中的小百科,"[('探险中的小百科', 46728)]"
故事小号手,"[('故事小号手', 46839)]"
故事王国,"[('故事王国之乐在其中', 46726), ('故事王国之学以致用', 46727)]"
数学魔法,"[('数学魔法 第2季', 72773)]"
斗破苍穹,"[('斗破苍穹 动态漫 第四季', 45531), ('斗破苍穹 动态漫 第五季', 48516), ('斗破苍穹 动态漫 第四季', 45531)]"
新·异常生物见闻录：序,"[('新·异常生物见闻录：序', 43338), ('新·异常生物见闻录：序', 43338)]"
新大头儿子和小头爸爸 智能小当家,"[('新大头儿子和小头爸爸 智能小当家', 99791)]"
新大头儿子和小头爸爸 欢乐亲子营,"[('新大头儿子和小头爸爸 欢乐亲子营', 45616)]"
新大头儿子和小头爸爸传奇兜兜,"[('新大头儿子和小头爸爸传奇兜兜', 72950)]"
无聊就完结,"[('无聊就完结', 43347)]"
无脑魔女,"[('无脑魔女', 43371)]"
时光代理人,"[('时光代理人 第二季', 39666), ('时光代理人 英都篇', 48143)]"
时光的画笔,"[('时光的画笔', 48500)]"
明日方舟：冬隐归路,"[('明日方舟：冬隐归路 中配版', 46005), ('明日方舟：冬隐归路', 46004)]"
明日方舟：焰烬曙明,"[('明日方舟：焰烬曙明', 102042), ('明日方舟：焰烬曙明 中配版', 102041)]"
星原小宝,"[('星原小宝之奇妙探索', 72922)]"
星星班长,"[('星星班长 第二季', 48672), ('星星班长 第二季', 48672)]"
春芽宝贝,"[('春芽宝贝', 46734)]"
是王者啊？,"[('是王者啊？长安篇', 73993), ('是王者啊？长安篇', 73993)]"
晓晓成长日记,"[('晓晓成长日记 第二季', 72568)]"
智慧村的故事,"[('智慧村的故事 第一季', 46718), ('智慧村的故事 第二季', 74404)]"
暂停！智序重组,"[('暂停！智序重组', 45980)]"
曹冲称象,"[('曹冲称象', 47508)]"
最强反套路系统,"[('最强反套路系统 第二季 动态漫', 103007)]"
最强弃少,"[('最强弃少 动态漫', 102829)]"
最强神王,"[('最强神王 动态漫', 102894)]"
最强神赐,"[('最强神赐 动态漫', 102887)]"
月魁传 动态漫画,"[('月魁传 动态漫画', 46593)]"
木头岛的故事,"[('木头岛的故事', 72551)]"
木木博士,"[('木木博士之千问千答人体篇（中）', 72825)]"
机米和露露,"[('机米和露露 第二季', 46943), ('机米和露露 第二季', 46943)]"
杰米熊,"[('杰米熊之神话图卷', 72564)]"
枕刀歌,"[('枕刀歌 第二季', 76349)]"
林海雪原,"[('林海雪原', 47537)]"
核晶少年,"[('核晶少年 第4季', 72668), ('核晶少年 第3季', 72666), ('核晶少年 第2季', 72664), ('核晶少年 第1季', 72663)]"
桃花夫人,"[('桃花夫人', 72547)]"
梦想总动员,"[('梦想总动员', 43931)]"
棉花糖和云朵妈妈 快乐生活,"[('棉花糖和云朵妈妈 快乐生活2', 44305)]"
棉花糖和云朵妈妈超级小米花,"[('棉花糖和云朵妈妈超级小米花', 72948)]"
棒波免的海洋之旅,"[('棒波免的海洋之旅', 72766)]"
槑好时光·城南忆事,"[('槑好时光·城南忆事', 46702)]"
橡树餐厅,"[('橡树餐厅之食神秘籍', 72889)]"
欢乐小狮子,"[('欢乐小狮子', 72819)]"
正经少主的幸福生活,"[('正经少主的幸福生活', 43346)]"
毛毛镇,"[('毛毛镇之海洋大发现', 45518)]"
民族风情,"[('民族风情', 47609)]"
民调局异闻录,"[('民调局异闻录 第2季', 47990)]"
水果三国,"[('水果三国', 72565)]"
汉化日记,"[('汉化日记 第四季', 43308)]"
汽车世界城市大冒险,"[('汽车世界城市大冒险 第1季', 72955)]"
汽车星球,"[('汽车星球 第2季', 72888)]"
没头脑和不高兴,"[('没头脑和不高兴', 47778)]"
没牙的老虎,"[('没牙的老虎', 47491)]"
海尔兄弟高清,"[('海尔兄弟高清重制版', 91783)]"
淘气猪多多,"[('淘气猪多多之我爱画画 第三季', 46706), ('淘气猪多多之我爱画画 第二季', 46775), ('淘气猪多多之我爱画画 第四季', 72557)]"
淘淘与小布,"[('淘淘与小布', 46833)]"
漫虫记,"[('漫虫记 第二季', 46875)]"
漫赏秦腔,"[('漫赏秦腔 第1季', 72573), ('漫赏秦腔 第2季', 72563)]"
火凤燎原,"[('火凤燎原 第二季', 72937)]"
火火兔学古诗,"[('火火兔学古诗', 72698)]"
灵笼,"[('灵笼 第二季', 46585)]"
灵草小战士,"[('灵草小战士 第1季', 72750)]"
炫卡斗士,"[('炫卡斗士之猛兽能量', 72729)]"
炼气练了三千年,"[('炼气练了三千年 第三季', 48283), ('炼气练了三千年 第三季', 48283), ('炼气练了三千年 第二季', 48282), ('炼气练了三千年 第一季', 48281)]"
熊猫百货商店,"[('熊猫百货商店', 47493)]"
燃夏,"[('燃夏', 42066)]"
爆炫星陀,"[('爆炫星陀', 48245)]"
爸爸妈妈小时候的故事,"[('爸爸妈妈小时候的故事', 72571)]"
牛牛和西西,"[('牛牛和西西', 47486)]"
牧神记,"[('牧神记', 45969)]"
狼来了,"[('狼来了', 47511)]"
猩猩探长,"[('猩猩探长', 47487)]"
猪多多,"[('淘气猪多多之我爱画画 第三季', 46706), ('淘气猪多多之我爱画画 第二季', 46775), ('猪多多成长日记 第二季', 46832), ('猪多多成长日记 第二季', 46832), ('猪多多之趣味小课堂 第5季', 72822), ('猪多多之趣味小课堂 第2季', 72771), ('猪多多之彩虹画堂 第2季', 72770), ('猪多多之彩虹画堂 第3季', 72783), ('猪多多之十万个为什么 第1季', 72561), ('淘气猪多多之我爱画画 第四季', 72557)]"
猪多多成长日记,"[('猪多多成长日记 第二季', 46832), ('猪多多成长日记 第二季', 46832)]"
猪猪·吉利·小财神,"[('猪猪·吉利·小财神', 47666)]"
猪猪侠,"[('猪猪侠益智课堂4', 46241), ('猪猪侠之益智课堂5', 46507), ('猪猪侠恐龙爆笑研究所', 72674), ('猪猪侠爆笑科普乐园', 72673), ('猪猪侠之恐龙日记 第8季', 72645), ('猪猪侠之恐龙日记 第7季', 72644), ('猪猪侠之恐龙日记 第2季', 72643), ('猪猪侠之恐龙日记 第1季', 72641), ('猪猪侠之环球日记', 72626), ('猪猪侠之拼装特工队', 72625), ('猪猪侠之深海小英雄4', 72624), ('猪猪侠之深海小英雄3', 72623), ('猪猪侠之深海小英雄2', 72622), ('猪猪侠之深海小英雄1', 72621)]"
猪猪侠恐龙爆笑研究所,"[('猪猪侠恐龙爆笑研究所', 72674)]"
猪猪侠爆笑科普乐园,"[('猪猪侠爆笑科普乐园', 72673)]"
猪猪侠益智课堂,"[('猪猪侠益智课堂4', 46241)]"
猴子捞月,"[('猴子捞月', 47505)]"
王安石与鄞县,"[('王安石与鄞县', 72697)]"
画廊一夜,"[('画廊一夜', 47492)]"
疯狂小糖,"[('疯狂小糖 第五季', 72661), ('疯狂小糖 第四季', 72660)]"
白玉堂,"[('白玉堂', 47652)]"
白色闪电,"[('白色闪电', 47926)]"
百变宝贝,"[('百变宝贝', 47665)]"
百变布鲁可,"[('百变布鲁可8超变先锋救援', 72961)]"
百变校巴,"[('百变校巴15火星大冒险', 72616), ('百变校巴14', 72615), ('百变校巴13', 72613), ('百变校巴成语故事', 72670), ('百变校巴成长绘本', 72649), ('百变校巴英文儿歌 第2季', 72648), ('百变校巴英文儿歌 第1季', 72647), ('百变校巴16火星大冒险', 72617)]"
百变校巴成语故事,"[('百变校巴成语故事', 72670)]"
百变校巴成长绘本,"[('百变校巴成长绘本', 72649)]"
百变校巴英文儿歌,"[('百变校巴英文儿歌 第2季', 72648), ('百变校巴英文儿歌 第1季', 72647)]"
百变雄师,"[('百变雄师 第四季', 46992), ('百变雄师 第三季', 46991), ('百变雄师 第二季', 46990), ('百变雄师 第四季', 46992)]"
百妖谱,"[('百妖谱·司府篇', 43364), ('百妖谱·洛阳篇', 73941)]"
百工灵,"[('百工灵', 48019)]"
皮皮的故事,"[('皮皮的故事', 47489)]"
盐友,"[('盐友 动态漫', 47090)]"
盟卡车神,"[('盟卡车神之魔幻元珠 第三季', 46703), ('盟卡车神之龙兽觉醒', 48533), ('盟卡车神之魔幻对决W', 48246), ('盟卡车神之龙兽觉醒 第二季', 96212)]"
目标一亿积分,"[('目标一亿积分 动态漫', 98252)]"
相亲式修真道侣,"[('相亲式修真道侣 动态漫', 102864)]"
真假李逵,"[('真假李逵', 47503)]"
真理面具,"[('真理面具 动态漫 重制版', 88988)]"
知宝学堂,"[('知宝学堂之成语故事 第4季', 74410), ('知宝学堂之成语故事 第3季', 74409), ('知宝学堂之成语故事 第2季', 74408), ('知宝学堂之成语故事 第1季', 74407)]"
神之一脚,"[('神之一脚', 45973)]"
神兽小岛,"[('神兽小岛 第1季', 72891)]"
神奇小队,"[('神奇小队之我爱画画 第3季', 72532), ('神奇小队之我爱画画 第2季', 72530), ('神奇小队之我爱画画 第3季', 72532)]"
神奇画笔看世界,"[('神奇画笔看世界', 72528)]"
神奇的朋友 咖宝蛋神,"[('神奇的朋友 咖宝蛋神', 48244)]"
神奇飞船,"[('神奇飞船之中华寻宝', 46835)]"
神豪,"[('神豪之天降系统 动态漫', 103003)]"
神道帝尊,"[('神道帝尊', 48519)]"
福娃,"[('福娃', 99897)]"
穿越云南三千年 云小志漫游记,"[('穿越云南三千年 云小志漫游记 第三季', 46933)]"
童心向阳,"[('童心向阳', 72907)]"
第一序列,"[('第一序列', 39659)]"
笼中人,"[('笼中人', 45967)]"
米乐米可,"[('米乐米可之欢乐海豚岛 第二季', 99795)]"
精灵梦叶罗丽,"[('精灵梦叶罗丽 第10季', 48156), ('精灵梦叶罗丽 第9季', 48155), ('精灵梦叶罗丽 第8季', 48154), ('精灵梦叶罗丽 第7季', 48153), ('精灵梦叶罗丽 第6季', 48152), ('精灵梦叶罗丽 第5季', 48151), ('精灵梦叶罗丽 第4季', 48150), ('精灵梦叶罗丽 第3季', 48149), ('精灵梦叶罗丽 第2季', 48148)]"
系统逼我做反派,"[('系统逼我做反派 动态漫', 102885)]"
繁花似锦,"[('繁花似锦', 46877)]"
红孩儿传奇,"[('红孩儿传奇', 47612)]"
红鼻子,"[('红鼻子', 47605)]"
纳尤古传奇,"[('纳尤古传奇', 72758)]"
