original_name,imdb_name,rating,votes,imdbid
旅途危机！圣芙蕾雅号特别事件,,,,
咸鱼哥 第二季,,,,
一世之尊,,,,
百妖谱·司府篇,,,,
BLADER SOUL,Blader Soul,N/A,N/A,tt31962058
Happy Heroes Mul Tiverse Rescue,,,,
功夫熊猫:盖世五侠的秘密,,,,
牧神记,,,,
Dragonkeeper,Dragonkeeper,5.7,"1,880",tt7093904
神道帝尊,,,,
山山田田间,,,,
Spy x Sect,Spy x Sect,N/A,N/A,tt33500705
白蛇：浮生,,,,
大道朝天,,,,
喜羊羊与灰太狼之守护,,,,
虎鹤妖师录,,,,
Sea in a Box,,,,
食草老龙被冠以恶龙之名 第二季 日语版,,,,
食草老龙被冠以恶龙之名 第二季,,,,
伍六七之记忆碎片,,,,
头脑特工队2,Terminator 2: Judgment Day,8.6,"1,241,481",tt0103064
动物小战士剧场,,,,
小猪班纳之星幻骑士,,,,
小猪班纳之星幻骑士,,,,
《黑神话：悟空》同人创作独立短片 | 直面天命,,,,
小小知道之恐龙世界大冒险,,,,
哈小浪之星域大冒险,,,,
神奇马戏团之动物饼干,,,,
Turning Mecard,Turning Mecard,8.4,66,tt7905120
斗破苍穹 动态漫 第五季,,,,
The Umbrella Fairy,The Umbrella Fairy,N/A,62,tt32242290
航海王：路飞捕头传,,,,
成语动画廊,,,,
如果历史是一群喵 南宋金元篇,,,,
万界仙踪,,,,
万界仙踪,,,,
万界仙踪,,,,
万界仙踪,,,,
炼气练了三千年 第三季,,,,
炼气练了三千年 第二季,,,,
炼气练了三千年 第一季,,,,
Utawarerumono: Futari no Hakuoro,,,,
CAGED CHARACTER,CAGED CHARACTER,N/A,N/A,tt33353806
Charging Topspinner,Charging Topspinner,N/A,N/A,tt27787860
怪想售,,,,
Turning Mecard,Turning Mecard,8.4,66,tt7905120
Gamers!,Gamers!,6.6,"1,946",tt7163698
绿毛怪格林奇,,,,
Gamers!,Gamers!,6.6,"1,946",tt7163698
赘婿 第二季,,,,
Gamers!,Gamers!,6.6,"1,946",tt7163698
蜘蛛侠和他的神奇朋友们 第一季,,,,
白色闪电,,,,
Rescue Across Time,,,,
Gamers!,Gamers!,6.6,"1,946",tt7163698
我的三体 第四季,,,,
精灵梦叶罗丽 第10季,10 Things I Hate About You,7.4,"425,583",tt0147800
精灵梦叶罗丽 第9季,District 9,7.9,"738,501",tt1136608
精灵梦叶罗丽 第八季,,,,
精灵梦叶罗丽 第七季,,,,
精灵梦叶罗丽 第六季,,,,
精灵梦叶罗丽 第五季,,,,
精灵梦叶罗丽 第四季,,,,
精灵梦叶罗丽 第三季,,,,
精灵梦叶罗丽 第二季,,,,
Bureau,The Adjustment Bureau,7,"278,024",tt1385826
我叫MT 第七季,Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,8.7,"17,017",tt14888874
Flower Angel 5,,,,
Flower Angel 4,Terminator 2: Judgment Day,8.6,"1,241,481",tt0103064
Flower Angel 3,,,,
不白吃古诗词漫游记第二季,,,,
DON'T GIVE UP!,Don't Give Up the Sheep,8,"1,638",tt0045697
阿诺德和他可爱的木偶们 日文版,,,,
赛尔号 第3季,Toy Story 3,8.3,"938,919",tt0435761
赛尔号 第4季,John Wick: Chapter 4,7.6,"386,853",tt10366206
赛尔号 第5季,Final Destination 5,5.9,"142,707",tt1622979
赛尔号 第6季,Big Hero 6,7.8,"534,462",tt2245084
赛尔号 第7季,Furious 7,7.1,"429,718",tt2820852
赛尔号 第8季,Super 8,7,"375,101",tt1650062
赛尔号 第9季,District 9,7.9,"738,501",tt1136608
小马宝莉：友谊就是魔法 第六季,,,,
小马宝莉：友谊就是魔法 第五季,,,,
赛尔号 第10季,10 Things I Hate About You,7.4,"425,583",tt0147800
CRAFTS AND QUBiTS,,,,
ICHIRIN-SHA,,,,
Ikkyu-san and a Mischievous Princess,,,,
心源,,,,
The Little Poet,The Little Poet,N/A,8,tt29431265
Dragon Gate,Flying Swords of Dragon Gate,5.9,"8,801",tt1686784
"The Tunnel to Summer, the Exit of Goodbyes","The Tunnel to Summer, the Exit of Goodbyes",7.1,"5,153",tt17382524
猪猪侠大电影·星际行动,,,,
从姑获鸟开始之龙城风云,,,,
今天的晚餐就是你,,,,
Pleasant Goat and Big Big Wolf,Pleasant Goat and Big Big Wolf,4.6,177,tt2193273
幻宠师,,,,
看见风的少年,,,,
"Mom, I'm Sorry","Mom, I'm Sorry",N/A,N/A,tt32583473
小药童也想修仙,,,,
咸鱼哥 第二季 粤语版,,,,
动物小战士剧场,,,,
动物小战士剧场,,,,
回铭之烽火三月,,,,
我在修仙世界朝九晚五,,,,
鲲吞天下之掌门归来,,,,
Lotus Lantern,Lotus Lantern,6.8,905,tt0262264
Never mind and unhappy,,,,
Loli Pop in Fantasy,Loli Pop In Fantasy,N/A,N/A,tt10581808
百变宝贝,,,,
中华美德,,,,
爆球连发!! 超级弹珠人,,,,
魔鬼芯片,,,,
Dogeza: I Tried Asking While Kowtowing.,,,,
西游漫记,,,,
Hakugei: Legend of the Moby Dick,Hakugei: Legend of the Moby Dick,7.7,53,tt4060956
鲁邦三世 追寻哈里毛的宝藏,,,,
飞屋环游记,,,,
钟馗捉鬼,,,,
三十六计奇遇记,,,,
小草裙舞女孩,,,,
小和尚,,,,
NEET Kunoichi to Nazeka Dousei Hajimemashita,,,,
红孩儿传奇,,,,
怪城,,,,
咕噜米的眼睛,,,,
民族痛史,,,,
风尘小游侠,,,,
Ikkyu-san and a Mischievous Princess,,,,
隐身探长,,,,
大森林里的小故事,,,,
红鼻子,,,,
地上城与勇士,,,,
银河铁道999 永恒幻想,Galaxy Express 999,7.4,"2,451",tt0080772
反派初始化,,,,
Isekai de Mofumofu Nadenade suru Tame ni Ganbattemasu.,,,,
Isekai de Mofumofu Nadenade suru Tame ni Ganbattemasu.,,,,
超变兽车侠,,,,
虚无边境 粤语版,,,,
Happy Heroes Mul Tiverse Rescue,,,,
虚无边境,,,,
超变战陀,,,,
神之一脚,,,,
阿诺德和他可爱的木偶们 英文版,,,,
没牙的老虎,,,,
皮皮的故事,,,,
阿诺德和他可爱的木偶们 繁体中文版,,,,
阿诺德和他可爱的木偶们,,,,
Patalliro!,Patalliro!,7.2,36,tt3650462
Patalliro!,Patalliro!,7.2,36,tt3650462
Patalliro!,Patalliro!,7.2,36,tt3650462
小鸡彩虹 第二季,,,,
小鸡彩虹 第二季,,,,
林海雪原,,,,
Natsume Yuujinchou San,,,,
Natsume Yuujinchou San,,,,
仙履奇缘2：美梦成真,Terminator 2: Judgment Day,8.6,"1,241,481",tt0103064
芭比：大城市大梦想,,,,
少年苏东坡传奇,,,,
梦想总动员,,,,
名侦探柯南 瞳孔中的暗杀者,,,,
故事王国之学以致用,,,,
小绿和小蓝 第五季,,,,
乌鸦为什么是黑的,,,,
东郭先生,,,,
小蛋壳,,,,
女娲补天,,,,
假如我是武松,,,,
狼来了,,,,
鹿铃,,,,
小熊猫学木匠,,,,
曹冲称象,,,,
善良的夏吾冬,,,,
抬驴,,,,
MONKEYS FISHING FOR THE MOON,,,,
崂山道士,,,,
真假李逵,,,,
南郭先生,,,,
Ginseng Fruit,,,,
Three Monks,Three Monks,7.7,474,tt0133191
张飞审瓜,,,,
雪孩子,,,,
老狼请客,,,,
好猫咪咪,,,,
愚人买鞋,,,,
熊猫百货商店,,,,
画廊一夜,,,,
大英雄狄青,,,,
Copito de Nieve,Copito de Nieve: el renacer de una leyenda.,7.8,12,tt2201009
牛牛和西西,,,,
应该靠自己,,,,
快乐家家车,,,,
Old Codger,,,,
大盗贼,,,,
汉化日记 第四季,,,,
The Storm,The Storm,3.5,744,tt1415244
奶泡泡学成语 第四季,,,,
奶泡泡学成语 第三季,,,,
奶泡泡学成语 第二季,,,,
奶泡泡学成语 第一季,,,,
瑞奇宝宝 第四季,,,,
缔灵爱之默水玲珑,,,,
苍兰诀,,,,
新·异常生物见闻录：序,,,,
嫁人就嫁灰太狼,,,,
Arknights: Enshin Shomei,,,,
Arknights: Enshin Shomei,,,,
山海封神 动态漫,,,,
Kono Bijutsubu ni wa Mondai ga Aru!,,,,
New Gods: Nezha Reborn,New Gods: Nezha Reborn,6.8,"4,349",tt13269670
我要【招架】一切?反误解的世界最强想成为冒险者? 第二季,,,,
"Shin no Nakama ja Nai to Yuusha no Party o Oidasareta node, Henkyou de Slow Life Suru Koto ni Shimashita",,,,
在遍地都是丧尸的世界里唯独我不被袭击,,,,
Six Tao's,,,,
神豪之天降系统 动态漫,,,,
姐姐的妄想日记 霭子姐那即使从本篇中跑出来也停不下来的独角戏,,,,
Zero kara Hajimeru Mahou no Sho,,,,
极道君漫游记,,,,
鲲吞天下之掌门归来,,,,
鲲吞天下之掌门归来,,,,
最强王图鉴 ～The Ultimate Battles～,,,,
There's No Freaking Way I'll be Your Lover! Unless...,,,,
重生都市天尊 动态漫,,,,
开局一座山,,,,
最强神赐 动态漫,,,,
系统逼我做反派 动态漫,,,,
圣尊助理的我已经无敌了 动态漫,,,,
Urban Legend Story Hikiko,,,,
相亲式修真道侣 动态漫,,,,
最强蜗牛西能,,,,
大象无形 动态漫,,,,
THE HAPPY LIFE OF BIGTEETH,,,,
THE GOLDEN WUG,The Golden Wug,N/A,N/A,tt32657252
贵族转生 ～得天眷顾一出生就获得最强力量～,,,,
Code Geass: Boukoku no Akito 3,Code Geass,8.7,"92,918",tt0994314
君有云 第二季,,,,
"Tensei Shitara Dai Nana Ouji Datta no de, Kimamani Majutsu o Kiwamemasu Season 2",,,,
航天双子星 第二季,,,,
精灵梦叶罗丽,,,,
美乐蒂&库洛米,,,,
跳跳虎历险记,,,,
Kokoro no Catchball,,,,
新大头儿子和小头爸爸 智能小当家,,,,
福娃,,,,
封灵特优生,,,,
LING CAGE,Ling Cage,8.2,304,tt10827146
原来我早就无敌了 第三季 动态漫,,,,
我的弟子遍布诸天万界 动态漫,,,,
U探泰拉 中配版,U-571,6.6,"90,323",tt0141926
U探泰拉,U-571,6.6,"90,323",tt0141926
大侠请上功,,,,
我家大师兄是个反派,,,,
一觉醒来坐拥神装和飞船，我决定以买一套独门独户的房子为目标作为佣兵自由地活下去,,,,
动物小战士剧场,,,,
鲲吞天下之掌门归来,,,,
Turning Mecard,Turning Mecard,8.4,66,tt7905120
念无双,,,,
TO BE HERO X,To Be Hero X,8.5,"2,442",tt23139038
TO BE HERO X,To Be Hero X,8.5,"2,442",tt23139038
我的师兄太强了,,,,
The Story of Hongmao and Lantu,,,,
The Story of Hongmao and Lantu,,,,
海尔兄弟,,,,
凹凸世界·新生 先行集,,,,
冰封末日：绝无生还之路 动态漫,,,,
真理面具 动态漫 重制版,,,,
反派初始化,,,,
长歌行,,,,
Mumu,Mumu,6.3,243,tt1587811
猪迪克之古怪岛大冒险 第1季,Kill Bill: Vol. 1,8.2,"1,259,314",tt0266697
君子无疾,,,,
那年那兔那些事儿 第七季,,,,
三国演义,,,,
小鲤鱼历险记,,,,
蛮荒仙界,,,,
Monkey King,Monkey King,4.7,195,tt5841964
哪吒传奇,,,,
火凤燎原 第二季,,,,
天命大主宰,,,,
赛几传说,,,,
请吃红小豆吧！食物世界 第一季,,,,
不白吃话山海经 第二季,,,,
少年歌行 血染天启篇,,,,
Ikkyu-san and a Mischievous Princess,,,,
新SOS大东京探险队,SOS,6.2,"5,591",tt0096022
Chiryokumaru,Chiryokumaru,N/A,N/A,tt6221546
Chiryokumaru,Chiryokumaru,N/A,N/A,tt6221546
Chiryokumaru,Chiryokumaru,N/A,N/A,tt6221546
Chiryokumaru,Chiryokumaru,N/A,N/A,tt6221546
图图的智慧王国数学系列,,,,
是王者啊？第五季,,,,
外星宝宝来地球,,,,
外星宝宝来地球,,,,
猪迪克之古怪岛大冒险 第1季,Kill Bill: Vol. 1,8.2,"1,259,314",tt0266697
猪迪克之古怪岛大冒险 第1季,Kill Bill: Vol. 1,8.2,"1,259,314",tt0266697
可可小爱全集,,,,
火线小剧场 第三季,,,,
"Hutch,the Honeybee",The Adventures of Hutch the Honeybee,6.6,641,tt0179574
新大头儿子和小头爸爸 欢乐亲子营,,,,
Daicon IV,Daicon IV Opening Animation,8,395,tt2121749
The Great Detective Sherlock Holmes - The Greatest Jail-Breaker,,,,
Daicon IV,Daicon IV Opening Animation,8,395,tt2121749
Daicon IV,Daicon IV Opening Animation,8,395,tt2121749
Rubi Yoyo,,,,
奇特的故事,,,,
奇特的故事,,,,
Ganbare Genki,,,,
Ganbare Genki,,,,
喷喷象小百科之交通篇,,,,
名侦探柯南 瞳孔中的暗杀者,,,,
名侦探柯南 瞳孔中的暗杀者,,,,
名侦探柯南 瞳孔中的暗杀者,,,,
托马斯和朋友们：多多岛之迷失宝藏,,,,
小马宝莉之无尽森林传说,,,,
中华上下五千年之传统节日篇,,,,
趣说中华名人故事 第1季,Kill Bill: Vol. 1,8.2,"1,259,314",tt0266697
McDull,My Life as McDull,7.3,"1,306",tt0312941
外星宝宝来地球,,,,
中华诗歌故事唐宋篇,,,,
精算小魔女2,Terminator 2: Judgment Day,8.6,"1,241,481",tt0103064
偷春人,,,,
荒岛历险记之罗克和编程猫,,,,
纳品!!!,,,,
Dogeza: I Tried Asking While Kowtowing.,,,,
Dogeza: I Tried Asking While Kowtowing.,,,,
坏丫头：奔跑吧，哈尼,,,,
猪迪克之古怪岛大冒险 第1季,Kill Bill: Vol. 1,8.2,"1,259,314",tt0266697
嘀嗒传奇,,,,
纸人捣乱记,,,,
纸人捣乱记,,,,
纸人捣乱记,,,,
Unawakened Dream,,,,
Adventurous Litte Prince,,,,
探险托里兰托 1000年的真宝,House of 1000 Corpses,6,"96,997",tt0251736
探险托里兰托 1000年的真宝,House of 1000 Corpses,6,"96,997",tt0251736
桑杰的超级团队,,,,
探险托里兰托 1000年的真宝,House of 1000 Corpses,6,"96,997",tt0251736
灵域 第二季,,,,
奇幻龙宝,,,,
探险托里兰托 1000年的真宝,House of 1000 Corpses,6,"96,997",tt0251736
探险托里兰托 1000年的真宝,House of 1000 Corpses,6,"96,997",tt0251736
闪亮幸福★开启吧!心灵,,,,
闪亮幸福★开启吧!心灵,,,,
Majuu Senshi Luna Varga,,,,
新大头儿子和小头爸爸传奇兜兜,,,,
棉花糖和云朵妈妈超级小米花,,,,
23号牛乃唐,The Number 23,6.4,"218,423",tt0481369
青田小田鱼第二季,,,,
我是中国DOTA的希望,Dota: Dragon's Blood,7.7,"23,119",tt14069590
我是中国DOTA的希望,Dota: Dragon's Blood,7.7,"23,119",tt14069590
马达加斯加3,Toy Story 3,8.3,"938,919",tt0435761
Go！Go！小小车向前冲,Monster a Go-Go,1.8,"10,106",tt0059464
Majokko Tsukune-chan,Majokko Tsukune chan #5,N/A,N/A,tt1159548
转战之超旋斗士,,,,
ORAGMON,,,,
ORAGMON,,,,
半蛋龙,,,,
伊甸星原,,,,
Science Saru x MBS Original Short Anime Daisakusen!,MBS 360 Health Made for TV,N/A,N/A,tt4058052
Jungle Master,Jungle Master,3.7,212,tt2871776
豆豆一家亲,,,,
超次元游戏 海王星 ～沐浴阳光的紫茄子花～,,,,
功夫萌娃 第1季,Kill Bill: Vol. 1,8.2,"1,259,314",tt0266697
Dogeza: I Tried Asking While Kowtowing.,,,,
Dogeza: I Tried Asking While Kowtowing.,,,,
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",,,,
中华优秀传统文化系列动画片 第2季,Terminator 2: Judgment Day,8.6,"1,241,481",tt0103064
中华优秀传统文化系列动画片之中医药的故事,,,,
童心向阳,,,,
凿壁偷光-匡衡的传说,,,,
孔子见老子,,,,
孔子归来,,,,
论语智慧,,,,
九尾狐和飞丸,,,,
橡树餐厅之食神秘籍,,,,
汽车星球 第2季,Terminator 2: Judgment Day,8.6,"1,241,481",tt0103064
银河铁道999 星空时光机,Galaxy Express 999,7.4,"2,451",tt0080772
Norimonoman,,,,
Rainbow Chicks,Rainbow Chicks,N/A,N/A,tt9287768
光影天炎战甲,,,,
百变马丁 第二季,,,,
百变马丁 第二季,,,,
百变马丁 第二季,,,,
罗米熊与丹米兔,,,,
跳跳虎历险记,,,,
小刺猬,,,,
小刺猬,,,,
小刺猬,,,,
工程车救援行动队 第3季,Toy Story 3,8.3,"938,919",tt0435761
工程车救援行动队 第2季,Terminator 2: Judgment Day,8.6,"1,241,481",tt0103064
工程车救援行动队 第1季,Kill Bill: Vol. 1,8.2,"1,259,314",tt0266697
小小的世界,,,,
23号牛乃唐,The Number 23,6.4,"218,423",tt0481369
Deer and Bull,,,,
快乐东西2,Terminator 2: Judgment Day,8.6,"1,241,481",tt0103064
RICE FISH,,,,
我是中国DOTA的希望,Dota: Dragon's Blood,7.7,"23,119",tt14069590
Rainbow Chicks,Rainbow Chicks,N/A,N/A,tt9287768
中华诗歌故事之明清篇,,,,
Vampian Kids,,,,
AU English,U-571,6.6,"90,323",tt0141926
乌龙院之活宝传奇 第2季,Terminator 2: Judgment Day,8.6,"1,241,481",tt0103064
乌龙院之活宝传奇 第2季,Terminator 2: Judgment Day,8.6,"1,241,481",tt0103064
乐儿智慧乐园 幼儿启蒙,,,,
乌龙院之活宝传奇 第2季,Terminator 2: Judgment Day,8.6,"1,241,481",tt0103064
乐儿智慧乐园 世界各国,,,,
猪猪侠恐龙爆笑研究所,,,,
猪猪侠爆笑科普乐园,,,,
乌龙院之活宝传奇 第2季,Terminator 2: Judgment Day,8.6,"1,241,481",tt0103064
乌龙院之活宝传奇 第2季,Terminator 2: Judgment Day,8.6,"1,241,481",tt0103064
百变马丁 第二季,,,,
核晶少年 第4季,John Wick: Chapter 4,7.6,"386,853",tt10366206
乌龙院笑传,,,,
核晶少年 第3季,Toy Story 3,8.3,"938,919",tt0435761
核晶少年 第2季,Terminator 2: Judgment Day,8.6,"1,241,481",tt0103064
核晶少年 第1季,Kill Bill: Vol. 1,8.2,"1,259,314",tt0266697
疯狂小糖 第五季,,,,
疯狂小糖 第四季,,,,
你好鸡智,,,,
你好鸡智,,,,
百变马丁 第二季,,,,
百变马丁 第二季,,,,
百变马丁 第二季,,,,
猪猪侠之恐龙日记 第8季,Super 8,7,"375,101",tt1650062
奇特工程车 第2季,Terminator 2: Judgment Day,8.6,"1,241,481",tt0103064
奇特工程车 第1季,Kill Bill: Vol. 1,8.2,"1,259,314",tt0266697
漫威英雄之神奇搞笑,,,,
My Father's Dragon,My Father's Dragon,6.5,"3,867",tt9288748
天官赐福 第二季,,,,
飞越五千年 第一季,,,,
少年晓帆的奇幻之旅,,,,
Heronimals,,,,
彭彭与丁满,,,,
Fruit Story,Fruit Story,N/A,N/A,tt6419742
酷杰的科学之旅之森林探险,,,,
漫威英雄之神奇搞笑,,,,
Magic Blocks,,,,
车博士,,,,
汽车世界城市大冒险 第1季,Kill Bill: Vol. 1,8.2,"1,259,314",tt0266697
精灵兰尼和韦恩的圣诞前夜：圣诞老人秘密行动,,,,
超人与蝙蝠侠：公众之敌,,,,
银河铁道999 星空时光机,Galaxy Express 999,7.4,"2,451",tt0080772
Kamonohashi Ron no Kindan Suiri 2nd Season,,,,
猪猪侠之恐龙日记 第7季,Furious 7,7.1,"429,718",tt2820852
猪猪侠之恐龙日记 第2季,Terminator 2: Judgment Day,8.6,"1,241,481",tt0103064
猪猪侠之恐龙日记 第1季,Kill Bill: Vol. 1,8.2,"1,259,314",tt0266697
猪猪侠之环球日记,,,,
猪猪侠之拼装特工队,,,,
猪猪侠之深海小英雄4,John Wick: Chapter 4,7.6,"386,853",tt10366206
猪猪侠之深海小英雄3,Toy Story 3,8.3,"938,919",tt0435761
猪猪侠之深海小英雄2,Terminator 2: Judgment Day,8.6,"1,241,481",tt0103064
猪猪侠之深海小英雄1,Kill Bill: Vol. 1,8.2,"1,259,314",tt0266697
百变马丁 第二季,,,,
小马宝莉之无尽森林传说,,,,
